iter	RMSE
0	2.249049611
1	2.226895568
2	2.205369026
3	2.184787443
4	2.164764723
5	2.145379113
6	2.126200074
7	2.107815123
8	2.090072834
9	2.073296488
10	2.057134145
11	2.040980529
12	2.024842639
13	2.009848671
14	1.995136003
15	1.981063774
16	1.967324789
17	1.953759888
18	1.940742636
19	1.928174657
20	1.91567016
21	1.904099011
22	1.893003611
23	1.882191795
24	1.871456095
25	1.861085205
26	1.850788585
27	1.840829041
28	1.831411945
29	1.82234479
30	1.813787537
31	1.805466305
32	1.797171214
33	1.78917924
34	1.781594014
35	1.774505314
36	1.767437818
37	1.760394962
38	1.753768842
39	1.747367378
40	1.741018614
41	1.734924467
42	1.729009052
43	1.723241455
44	1.717867747
45	1.712734302
46	1.707721731
47	1.702897472
48	1.698387208
49	1.693845708
50	1.68936398
51	1.685089283
52	1.68105854
53	1.677241632
54	1.673465098
55	1.66986923
56	1.666306147
57	1.662788022
58	1.659448505
59	1.656258618
60	1.65323477
61	1.650274728
62	1.647695468
63	1.644909979
64	1.6422851
65	1.639637943
66	1.637002845
67	1.634492185
68	1.632254546
69	1.629973156
70	1.62765709
71	1.625476905
72	1.623374761
73	1.621376274
74	1.619415173
75	1.617571679
76	1.615868993
77	1.614069291
78	1.612153822
79	1.610159611
80	1.608342955
81	1.606558203
82	1.604938247
83	1.6034797
84	1.60168889
85	1.600138613
86	1.598403934
87	1.596981001
88	1.595528297
89	1.594229139
90	1.592864146
91	1.591560546
92	1.59015836
93	1.588678751
94	1.587265625
95	1.586233439
96	1.584845064
97	1.583591019
98	1.582751607
99	1.581635338
100	1.58066539
101	1.579958396
102	1.579054726
103	1.578028842
104	1.577335862
105	1.576243235
106	1.575528582
107	1.57465805
108	1.573962065
109	1.5731859
110	1.572445748
111	1.571507955
112	1.570780475
113	1.570127065
114	1.569497996
115	1.568813946
116	1.568181464
117	1.567614691
118	1.567024359
119	1.566462293
120	1.565910342
121	1.565238745
122	1.564808262
123	1.564375219
124	1.563770931
125	1.56314622
126	1.562515127
127	1.562055906
128	1.561505234
129	1.560920259
130	1.560475647
131	1.560024408
132	1.55966202
133	1.559221343
134	1.558721517
135	1.557859172
136	1.557438632
137	1.557086963
138	1.556584653
139	1.556073785
140	1.555779802
141	1.555314671
142	1.554944574
143	1.554390428
144	1.553931873
145	1.553499581
146	1.553041617
147	1.55261734
148	1.55206331
149	1.551342982
150	1.551036025
151	1.550681499
152	1.550345618
153	1.549971765
154	1.549733039
155	1.549514515
156	1.549160352
157	1.548803047
158	1.54845822
159	1.548137764
160	1.547849351
161	1.547465751
162	1.547262102
163	1.547086684
164	1.546815489
165	1.546461841
166	1.546131874
167	1.545820351
168	1.545600414
169	1.545244035
170	1.545050932
171	1.544781566
172	1.544349269
173	1.544088632
174	1.543813324
175	1.543493502
176	1.543227321
177	1.542985601
178	1.542552425
179	1.542283448
180	1.541600668
181	1.541403742
182	1.541069739
183	1.540921548
184	1.540676013
185	1.540534652
186	1.540376239
187	1.540169413
188	1.540035121
189	1.539874035
190	1.539549651
191	1.539255911
192	1.53901339
193	1.538803392
194	1.538676642
195	1.538488468
196	1.538135983
197	1.538009649
198	1.537836688
199	1.537595134
200	1.537413395
201	1.537203601
202	1.536838758
203	1.536604053
204	1.536415538
205	1.536234579
206	1.536009874
207	1.535814696
208	1.535694558
209	1.53553372
210	1.535282209
211	1.535106412
212	1.534927704
213	1.534492391
214	1.533876562
215	1.533645416
216	1.533471657
217	1.533308118
218	1.533146689
219	1.532926543
220	1.532745802
221	1.532538296
222	1.532439788
223	1.532292133
224	1.532062906
225	1.531926331
226	1.531799772
227	1.531626239
228	1.531517503
229	1.531254394
230	1.531036979
231	1.531022441
232	1.530809614
233	1.530541751
234	1.530336026
235	1.530132954
236	1.529977757
237	1.529941698
238	1.529789443
239	1.529612349
240	1.529357338
241	1.529181958
242	1.528989513
243	1.528771758
244	1.528634073
245	1.528526293
246	1.528343797
247	1.528173023
248	1.528019082
249	1.527882452
250	1.52776476
251	1.527664382
252	1.527485068
253	1.527425203
254	1.527254303
255	1.527163363
256	1.527028183
257	1.526913997
258	1.526834728
259	1.526310061
260	1.52622104
261	1.526177611
262	1.526089403
263	1.525904216
264	1.525836774
265	1.525727495
266	1.525603017
267	1.525476334
268	1.52533946
269	1.525143058
270	1.525003091
271	1.52475074
272	1.524657651
273	1.524504631
274	1.524289159
275	1.524198559
276	1.524048494
277	1.523942765
278	1.523788814
279	1.523585529
280	1.523395059
281	1.523119261
282	1.523022949
283	1.522838859
284	1.522723188
285	1.522627641
286	1.522498751
287	1.522408944
288	1.522317388
289	1.5221801
290	1.521886234
291	1.521701789
292	1.521540599
293	1.521296873
294	1.521191461
295	1.521088319
