iter	Passed	Remaining
0	57	571850
1	126	633685
2	184	615874
3	242	607126
4	305	610576
5	358	596623
6	407	582370
7	453	566532
8	497	551865
9	541	541107
10	584	530554
11	627	522476
12	673	517752
13	715	510595
14	758	504623
15	801	499871
16	846	496868
17	891	494354
18	936	491932
19	981	489542
20	1024	486676
21	1069	485167
22	1112	482519
23	1156	480539
24	1204	480527
25	1261	484007
26	1314	485713
27	1364	486051
28	1415	486655
29	1466	487219
30	1516	487799
31	1572	489883
32	1626	491148
33	1676	491401
34	1738	494970
35	1787	494607
36	1841	495955
37	1893	496470
38	1943	496436
39	1998	497748
40	2057	499853
41	2115	501581
42	2173	503382
43	2229	504528
44	2278	503977
45	2328	503867
46	2387	505591
47	2445	507064
48	2504	508715
49	2557	508858
50	2611	509465
51	2660	508987
52	2711	508934
53	2765	509379
54	2829	511656
55	2886	512599
56	2943	513419
57	3006	515396
58	3062	516034
59	3116	516304
60	3169	516434
61	3218	515907
62	3252	512983
63	3310	513930
64	3371	515280
65	3429	516266
66	3491	517626
67	3558	519690
68	3612	519938
69	3663	519741
70	3709	518763
71	3764	519018
72	3825	520232
73	3882	520810
74	3943	521870
75	4002	522703
76	4058	523039
77	4112	523068
78	4170	523780
79	4223	523729
80	4284	524658
81	4334	524249
82	4380	523365
83	4430	522998
84	4478	522386
85	4525	521723
86	4574	521220
87	4618	520175
88	4662	519168
89	4703	517863
90	4751	517347
91	4793	516277
92	4845	516168
93	4895	515855
94	4950	516120
95	4998	515720
96	5050	515611
97	5097	515097
98	5147	514766
99	5194	514229
100	5241	513692
101	5285	512869
102	5328	512002
103	5368	510873
104	5419	510734
105	5472	510804
106	5526	510944
107	5570	510244
108	5619	509889
109	5665	509336
110	5714	509065
111	5759	508446
112	5804	507847
113	5849	507251
114	5893	506591
115	5942	506382
116	5990	506003
117	6034	505330
118	6076	504516
119	6122	504050
120	6165	503374
121	6211	502922
122	6256	502422
123	6301	501899
124	6349	501624
125	6399	501462
126	6447	501195
127	6489	500497
128	6536	500136
129	6583	499820
130	6630	499530
131	6676	499146
132	6722	498723
133	6768	498330
134	6813	497877
135	6862	497768
136	6909	497465
137	6957	497222
138	7006	497025
139	7055	496936
140	7100	496500
141	7149	496318
142	7195	495995
143	7248	496133
144	7291	495559
145	7343	495626
146	7394	495605
147	7443	495500
148	7492	495334
149	7540	495183
150	7588	494962
151	7638	494876
152	7688	494842
153	7734	494508
154	7785	494522
155	7830	494098
156	7883	494229
157	7936	494357
158	7986	494286
159	8035	494158
160	8079	493781
161	8131	493810
162	8177	493489
163	8227	493433
164	8280	493552
165	8338	493974
166	8394	494271
167	8451	494609
168	8503	494671
169	8551	494457
170	8602	494444
171	8649	494251
172	8697	494050
173	8744	493796
174	8796	493845
175	8849	493945
176	8898	493819
177	8944	493566
178	8990	493280
179	9054	493960
180	9103	493873
181	9150	493603
182	9193	493207
183	9239	492881
184	9291	492951
185	9343	493003
186	9400	493322
187	9459	493712
188	9520	494234
189	9577	494516
190	9641	495132
191	9698	495423
192	9746	495275
193	9806	495673
194	9861	495867
195	9918	496144
196	9973	496276
197	10020	496063
198	10075	496206
199	10130	496412
200	10180	496335
201	10236	496533
202	10291	496692
203	10346	496828
204	10397	496805
205	10464	497509
206	10522	497791
207	10571	497678
208	10623	497680
209	10685	498146
210	10744	498486
211	10795	498404
212	10846	498356
213	10901	498516
214	10957	498697
215	11011	498785
216	11067	498933
217	11120	499001
218	11179	499317
219	11232	499323
220	11291	499640
221	11343	499625
222	11396	499662
223	11447	499607
224	11500	499624
225	11552	499608
226	11603	499564
227	11655	499541
228	11707	499525
229	11762	499639
230	11812	499531
231	11827	497966
232	11868	497506
233	11921	497525
234	11966	497226
235	12012	496984
236	12058	496733
237	12084	495685
238	12130	495426
239	12175	495128
240	12225	495048
241	12270	494787
242	12315	494505
243	12366	494450
244	12413	494247
245	12457	493953
246	12508	493907
247	12560	493909
248	12610	493852
249	12653	493505
250	12698	493209
251	12747	493087
252	12797	493041
253	12842	492780
254	12893	492739
255	12938	492468
256	12988	492413
257	13039	492384
258	13092	492398
259	13140	492257
260	13186	492034
261	13231	491771
262	13278	491615
263	13325	491418
264	13367	491051
265	13412	490814
266	13459	490655
267	13506	490480
268	13551	490209
269	13597	490011
270	13644	489831
271	13687	489544
272	13731	489249
273	13777	489034
274	13831	489131
275	13881	489080
276	13929	488949
277	13975	488724
278	14022	488565
279	14069	488415
280	14114	488185
281	14158	487916
282	14206	487791
283	14254	487649
284	14301	487517
285	14348	487338
286	14396	487226
287	14441	486984
288	14486	486783
289	14534	486642
290	14586	486657
291	14632	486467
292	14674	486160
293	14723	486086
294	14769	485883
295	14816	485748
